federal_state_code,federal_state_name,area,population
BW,Baden-Württemberg,35747.85,11280257
BY,Bayern,70541.58,13369393
BE,Berlin,891.12,3755251
BB,Brandenburg,29654.37,2573135
HB,Bremen,419.37,684864
HH,Hamburg,755.09,1892122
HE,Hessen,21115.63,6391360
NI,Niedersachsen,47709.86,8140242
MV,Mecklenburg-Vorpommern,23294.9,1628378
NW,Nordrhein-Westfalen,34112.61,18139116
RP,Rheinland-Pfalz,19857.97,4159150
SL,Saarland,2571.52,992666
SN,Sachsen,18449.89,4086152
ST,Sachsen-Anhalt,20464.04,2186643
SH,Schleswig-Holstein,15804.3,2953270
TH,Thüringen,16202.39,2126846
