name,street,city,zip,phone,mail,beds_number,latitude,longitude,link,hospital_id,federal_state_code
Klinikum Südstadt Rostock,Südring 81,Rostock,18059,+49 (0)381/4401-0,info@kliniksued-rostock.de,539,54.07175069965,12.107268333402,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771003/,771003,MV
Harzklinikum Dorothea Christiane Erxleben GmbH  Standort Quedlinburg,Ditfurter Weg 24,Quedlinburg,06484,+49 (0)3946/9090,info@harzklinikum.com,320,51.795329141617,11.163533091594,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771011/,771011,ST
"Harzklinikum Dorothea Christiane Erxleben GmbH Harzklinikum, Standort Wernigerode",Ilsenburger Straße 15,Wernigerode,38855,+49 (0)3946/9090,info@harzklinikum.com,300,51.835429468458,10.77440893655,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771012/,771012,ST
Sana Kliniken Leipziger Land GmbH Klinik Zwenkau,Pestalozzistraße 9,Zwenkau,04442,+49 (0)3433/21-0,postmaster.borna@sana.de,59,51.220289604117,12.330016672595,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771015/,771015,SN
Sana Kliniken Leipziger Land GmbH Klinikum Borna,Rudolf-Virchow-Straße 2,Borna bei Leipzig,04552,+49 (0)3433/21-0,postmaster.borna@sana.de,508,51.134329159685,12.504938006368,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771016/,771016,SN
SHG-Kliniken Sonnenberg,Sonnenbergstraße 10,Saarbrücken,66119,+49 (0)681/889-2305,vd-sb@sb.shg-kliniken.de,146,49.200517538251,7.011464433745,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771021/,771021,SL
DRK-Krankenhaus Grevesmühlen gGmbH,Klützer Straße 13-15,Grevesmühlen,23936,+49 (0)3881/726-0,info@drk-kh-gvm.de,145,53.868420415716,11.183155971412,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771028/,771028,MV
Oberhavel Kliniken GmbH Standort Oranienburg,Robert-Koch-Straße 2-12,Oranienburg,16515,+49 (0)3301/66-0,klinik@oberhavel-kliniken.de,223,52.743077973048,13.242150127871,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771029/,771029,BB
Oberhavel Kliniken GmbH Standort Hennigsdorf,Marwitzer Straße 91,Hennigsdorf,16761,+49 (0)3302/545-0,klinik@oberhavel-kliniken.de,318,52.655552769252,13.190437138064,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771030/,771030,BB
Oberhavel Kliniken GmbH Standort Gransee,Meseberger Weg 12-13,Gransee,16775,not reported,not reported,0,52.999036531019,13.144246521492,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771031/,771031,BB
