hospital_id,department_name,department_count
771003,Innere Medizin,7598
771003,Allgemeine Chirurgie,6347
771003,Frauenheilkunde und Geburtshilfe,5825
771003,Geburtshilfe,1897
771003,Neonatologie,627
771003,Intensivmedizin,485
771003,Hämatologie und internistische Onkologie,431
771003,Rheumatologie,162
771003,Schmerztherapie,88
771003,Pädiatrie,15
771011,Innere Medizin/Schwerpunkt Kardiologie,4098
771011,Innere Medizin,2981
771011,Unfallchirurgie,2230
771011,Allgemeine Chirurgie,1761
771011,Dermatologie,958
771011,Frauenheilkunde und Geburtshilfe,521
771011,Innere Medizin/Schwerpunkt Geriatrie,449
771011,Intensivmedizin,227
771011,Neurochirurgie,187
771011,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),126
771011,"Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie",21
771012,Frauenheilkunde und Geburtshilfe,2444
771012,Pädiatrie,2242
771012,Neurologie,1910
771012,Innere Medizin/Schwerpunkt Gastroenterologie,1291
771012,Innere Medizin/Schwerpunkt Kardiologie,1244
771012,Allgemeine Chirurgie,1128
771012,Innere Medizin/Schwerpunkt Pneumologie,937
771012,Strahlenheilkunde,771
771012,Innere Medizin,732
771012,Innere Medizin/Schwerpunkt Hämatologie und internistische Onkologie,700
771012,Allgemeine Chirurgie/Schwerpunkt Gefäßchirurgie,651
771012,Hämatologie und internistische Onkologie,565
771012,Innere Medizin/Schwerpunkt Nephrologie,311
771012,Intensivmedizin,241
771012,Pädiatrie/Schwerpunkt Neonatologie,170
771012,Urologie,0
771015,Innere Medizin,1003
771015,Geriatrie,245
771015,Intensivmedizin,174
771016,Innere Medizin,4779
771016,Unfallchirurgie,2847
771016,Allgemeine Chirurgie,2387
771016,Frauenheilkunde und Geburtshilfe,2247
771016,Pädiatrie,2210
771016,Innere Medizin/Schwerpunkt Kardiologie,1840
771016,Urologie,1804
771016,Neurologie,1716
771016,"Hals-, Nasen-, Ohrenheilkunde",999
771016,Intensivmedizin,581
771016,Palliativmedizin,319
771016,Geriatrie,262
771021,Geriatrie,1123
771021,Neurologie,460
771021,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),176
771028,Innere Medizin,2865
771028,Orthopädie und Unfallchirurgie,1052
771028,Allgemeine Chirurgie,845
771029,Frauenheilkunde und Geburtshilfe,2770
771029,Innere Medizin,2754
771029,Allgemeine Chirurgie,1663
771029,Pädiatrie,1125
771029,Intensivmedizin,204
771030,Innere Medizin,4661
771030,Allgemeine Chirurgie,2171
771030,"Hals-, Nasen-, Ohrenheilkunde",1857
771030,Neurologie,1790
771030,Geriatrie,613
771030,Intensivmedizin,283
771030,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),132
771031,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),131
771039,Frauenheilkunde und Geburtshilfe,5432
771039,Dermatologie,4173
771039,Innere Medizin,3030
771039,Pädiatrie,1537
771039,Schmerztherapie,681
771039,Geriatrie,489
771039,Neonatologie,334
771039,Allgemeine Chirurgie,168
771039,Intensivmedizin,149
771040,Allgemeine Chirurgie,2998
771040,Innere Medizin,2809
771040,Frauenheilkunde und Geburtshilfe,499
771040,Pädiatrie,167
771040,Intensivmedizin,125
771040,Sonstige Fachabteilung,0
771041,Innere Medizin/ohne Differenzierung nach Schwerpunkten (II),2701
771041,Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (II),831
771041,Geriatrie/ohne Differenzierung nach Schwerpunkten (II),418
771041,Geriatrie/Nachtklinik (für teilstationäre Pflegesätze),104
771041,Urologie/ohne Differenzierung nach Schwerpunkten (II),59
771042,Innere Medizin,3455
771042,Frauenheilkunde und Geburtshilfe,2841
771042,Kardiologie,2760
771042,Unfallchirurgie,2219
771042,Pädiatrie,2022
771042,Allgemeine Chirurgie,2005
771042,Neurologie,1743
771042,Pneumologie,1295
771042,Neurochirurgie,1037
771042,Geriatrie,525
771042,Nuklearmedizin,246
771042,Schmerztherapie,245
771042,Palliativmedizin,107
771042,Sonstige Fachabteilung,82
771042,"Hals-, Nasen-, Ohrenheilkunde",75
771042,Neonatologie,70
771042,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),30
771042,Urologie,0
771043,Allgemeine Chirurgie,4042
771043,Frauenheilkunde und Geburtshilfe,3964
771043,Innere Medizin,3364
771043,Geriatrie,688
771043,Palliativmedizin,268
771043,Intensivmedizin,178
771043,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze),104
771043,Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (II),11
771052,Innere Medizin,1665
771052,Allgemeine Chirurgie,1461
771052,Intensivmedizin,344
771053,Innere Medizin,6232
771053,Allgemeine Chirurgie,2906
771053,Frauenheilkunde und Geburtshilfe,1494
771054,Gefäßchirurgie,888
771056,Innere Medizin/Schwerpunkt Kardiologie,7559
771056,Herzchirurgie,3096
771056,Innere Medizin/Schwerpunkt Diabetes,1437
771056,Kinderkardiologie,963
771056,Herzchirurgie/ Intensivmedizin (§ 13 Abs. 2 Satz 3 2. Halbsatz BPflV in der am 31.12.2003 geltenden Fassung),778
771057,Frauenheilkunde und Geburtshilfe,8254
771057,Innere Medizin/Schwerpunkt Kardiologie,3050
771057,Innere Medizin,3043
771057,Allgemeine Chirurgie,2683
771057,Pädiatrie,2421
771057,Gefäßchirurgie,2076
771057,Innere Medizin/Schwerpunkt Gastroenterologie,1786
771057,Geriatrie,1084
771057,Neonatologie,650
771057,Intensivmedizin,373
771057,Palliativmedizin,135
771057,"Hals-, Nasen-, Ohrenheilkunde",12
771059,Geriatrie,1499
771060,Urologie,752
