hospital_id,total_treatments,total_treatments_label,nursing_quotient,nursing_quotient_label,nursing_count,provider_type,bed_count,semi_residential_count,emergency_service
771003,23479,sehr viele,60.11,weit unterdurchschnittlich,363,öffentlich,539,52,Stufe 2 - Erweiterte Notfallversorgung
771011,13563,viele,55.68,unterdurchschnittlich,227,öffentlich,320,20,Stufe 2 - Erweiterte Notfallversorgung
771012,15347,viele,48.69,überdurchschnittlich,268,öffentlich,300,8,Stufe 2 - Erweiterte Notfallversorgung
771015,1422,sehr wenige,39.15,weit überdurchschnittlich,40,privat,59,10,"Ja, die Notfallstufe ist noch nicht vereinbart."
771016,21996,sehr viele,46.59,überdurchschnittlich,352,privat,508,8,Stufe 2 - Erweiterte Notfallversorgung
771021,1760,sehr wenige,52.03,mittel,127,freigemeinnützig,146,15,"Ja, die Notfallstufe ist noch nicht vereinbart."
771028,4763,wenige,45.15,überdurchschnittlich,79,freigemeinnützig,145,0,Stufe 1 - Basisnotfallversorgung
771029,8517,mittel,52.27,mittel,132,öffentlich,223,0,Stufe 1 - Basisnotfallversorgung
771030,11509,viele,59.81,weit unterdurchschnittlich,225,öffentlich,318,10,Stufe 2 - Erweiterte Notfallversorgung
771031,131,sehr wenige,0.0,weit überdurchschnittlich,2,öffentlich,0,10,Keine Teilnahme an einer Notfallstufe.
771039,15997,sehr viele,39.34,weit überdurchschnittlich,256,freigemeinnützig,298,28,Stufe 2 - Erweiterte Notfallversorgung
771040,6602,mittel,39.91,weit überdurchschnittlich,123,freigemeinnützig,182,0,Stufe 1 - Basisnotfallversorgung
771041,4115,wenige,51.31,mittel,89,öffentlich,129,10,Keine Teilnahme an einer Notfallstufe.
771042,20766,sehr viele,52.26,mittel,511,öffentlich,574,38,Stufe 3 - Umfassende Notfallversorgung
771043,12621,viele,52.44,mittel,196,freigemeinnützig,269,13,Stufe 1 - Basisnotfallversorgung
771052,3471,wenige,50.0,mittel,45,öffentlich,70,0,Stufe 1 - Basisnotfallversorgung
771053,10634,viele,42.01,weit überdurchschnittlich,209,privat,223,0,Stufe 1 - Basisnotfallversorgung
771054,888,sehr wenige,15.38,weit überdurchschnittlich,11,privat,48,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771056,13835,viele,54.02,unterdurchschnittlich,608,öffentlich,504,0,Stufe 1 - Basisnotfallversorgung
771057,25573,sehr viele,48.1,überdurchschnittlich,462,freigemeinnützig,449,32,Stufe 2 - Erweiterte Notfallversorgung
771059,1499,sehr wenige,60.89,weit unterdurchschnittlich,71,freigemeinnützig,124,0,Keine Teilnahme an einer Notfallstufe.
771060,752,sehr wenige,29.19,weit überdurchschnittlich,8,privat,17,0,Keine Teilnahme an einer Notfallstufe.
771061,23120,sehr viele,62.11,weit unterdurchschnittlich,328,öffentlich,401,5,Stufe 2 - Erweiterte Notfallversorgung
771062,954,sehr wenige,22.61,weit überdurchschnittlich,14,privat,30,0,Keine Teilnahme an einer Notfallstufe.
771064,4799,wenige,35.76,weit überdurchschnittlich,102,öffentlich,165,0,Stufe 1 - Basisnotfallversorgung
771065,3243,wenige,35.53,weit überdurchschnittlich,55,privat,75,3,"Ja, die Notfallstufe ist noch nicht vereinbart."
771069,1046,sehr wenige,90.56,weit unterdurchschnittlich,47,privat,115,0,Keine Teilnahme an einer Notfallstufe.
771070,10014,viele,37.1,weit überdurchschnittlich,213,privat,240,0,Stufe 1 - Basisnotfallversorgung
771071,7633,mittel,57.2,unterdurchschnittlich,145,freigemeinnützig,223,0,Keine Teilnahme an einer Notfallstufe.
771072,12109,viele,51.2,mittel,191,freigemeinnützig,245,0,Stufe 1 - Basisnotfallversorgung
771073,1183,sehr wenige,42.03,weit überdurchschnittlich,33,freigemeinnützig,48,0,Keine Teilnahme an einer Notfallstufe.
771074,1723,sehr wenige,49.95,mittel,97,privat,53,0,Keine Teilnahme an einer Notfallstufe.
771075,271,sehr wenige,51.57,mittel,84,privat,64,0,Keine Teilnahme an einer Notfallstufe.
771076,8747,mittel,52.24,mittel,144,freigemeinnützig,234,0,Stufe 1 - Basisnotfallversorgung
771077,12726,viele,40.67,weit überdurchschnittlich,239,freigemeinnützig,241,0,Stufe 2 - Erweiterte Notfallversorgung
771078,10279,viele,55.63,unterdurchschnittlich,159,öffentlich,281,0,Stufe 1 - Basisnotfallversorgung
771079,4678,wenige,56.82,unterdurchschnittlich,78,freigemeinnützig,160,10,Stufe 1 - Basisnotfallversorgung
771080,26329,sehr viele,56.74,unterdurchschnittlich,641,öffentlich,911,31,Stufe 3 - Umfassende Notfallversorgung
771081,1242,sehr wenige,36.12,weit überdurchschnittlich,29,privat,51,0,Keine Teilnahme an einer Notfallstufe.
771082,7237,mittel,57.39,unterdurchschnittlich,66,öffentlich,100,40,Keine Teilnahme an einer Notfallstufe.
771083,25274,sehr viele,48.6,überdurchschnittlich,487,öffentlich,465,43,Stufe 3 - Umfassende Notfallversorgung
771084,20653,sehr viele,52.66,mittel,358,öffentlich,460,52,Stufe 2 - Erweiterte Notfallversorgung
771085,26970,sehr viele,49.13,mittel,468,öffentlich,522,51,Stufe 2 - Erweiterte Notfallversorgung
771087,8843,mittel,52.89,mittel,157,freigemeinnützig,260,10,Stufe 1 - Basisnotfallversorgung
771088,1577,sehr wenige,89.01,weit unterdurchschnittlich,68,privat,127,0,Keine Teilnahme an einer Notfallstufe.
771090,23087,sehr viele,54.81,unterdurchschnittlich,459,öffentlich,540,0,Stufe 3 - Umfassende Notfallversorgung
771091,258,sehr wenige,55.24,unterdurchschnittlich,12,öffentlich,25,0,Keine Teilnahme an einer Notfallstufe.
771093,7062,mittel,48.9,überdurchschnittlich,117,öffentlich,150,0,Stufe 1 - Basisnotfallversorgung
771094,1198,sehr wenige,34.0,weit überdurchschnittlich,27,öffentlich,50,0,Keine Teilnahme an einer Notfallstufe.
771095,19300,sehr viele,47.42,überdurchschnittlich,364,privat,397,5,Stufe 3 - Umfassende Notfallversorgung
771096,20473,sehr viele,41.41,weit überdurchschnittlich,434,öffentlich,500,23,Stufe 2 - Erweiterte Notfallversorgung
771098,6365,mittel,40.55,weit überdurchschnittlich,112,öffentlich,120,0,Stufe 1 - Basisnotfallversorgung
771099,1188,sehr wenige,61.31,weit unterdurchschnittlich,17,öffentlich,40,0,Keine Teilnahme an einer Notfallstufe.
771100,25330,sehr viele,52.57,mittel,499,öffentlich,600,0,Stufe 3 - Umfassende Notfallversorgung
771101,26772,sehr viele,60.51,weit unterdurchschnittlich,495,öffentlich,546,87,Stufe 3 - Umfassende Notfallversorgung
771102,13707,viele,57.24,unterdurchschnittlich,264,freigemeinnützig,339,8,Stufe 1 - Basisnotfallversorgung
771103,5947,mittel,52.72,mittel,66,öffentlich,146,0,Stufe 1 - Basisnotfallversorgung
771104,3624,wenige,59.32,weit unterdurchschnittlich,57,privat,94,0,Stufe 1 - Basisnotfallversorgung
771105,3667,wenige,63.49,weit unterdurchschnittlich,112,öffentlich,196,0,"Ja, die Notfallstufe ist noch nicht vereinbart.
                            
                                
Erläuterung: Keine Module vereinbart (Spezialversorgung im Widerspruchverfahren)"
771106,6951,mittel,56.66,unterdurchschnittlich,117,öffentlich,170,0,Stufe 1 - Basisnotfallversorgung
771107,5343,mittel,53.05,mittel,142,öffentlich,135,0,Stufe 1 - Basisnotfallversorgung
771108,19488,sehr viele,51.36,mittel,409,öffentlich,530,0,Stufe 3 - Umfassende Notfallversorgung
771109,8445,mittel,46.57,überdurchschnittlich,114,öffentlich,184,0,Stufe 1 - Basisnotfallversorgung
771112,2046,wenige,81.6,weit unterdurchschnittlich,138,freigemeinnützig,148,0,Keine Teilnahme an einer Notfallstufe.
771113,13293,viele,50.64,mittel,225,freigemeinnützig,267,0,Stufe 2 - Erweiterte Notfallversorgung
771114,1395,sehr wenige,74.9,weit unterdurchschnittlich,36,freigemeinnützig,55,10,Keine Teilnahme an einer Notfallstufe.
771115,9975,viele,64.0,weit unterdurchschnittlich,171,freigemeinnützig,288,0,Stufe 1 - Basisnotfallversorgung
771116,4010,wenige,68.44,weit unterdurchschnittlich,111,freigemeinnützig,161,15,Stufe 1 - Basisnotfallversorgung
771119,11565,viele,67.31,weit unterdurchschnittlich,154,freigemeinnützig,224,10,Stufe 2 - Erweiterte Notfallversorgung
771123,13625,viele,48.16,überdurchschnittlich,303,freigemeinnützig,375,0,Stufe 2 - Erweiterte Notfallversorgung
771124,18999,sehr viele,58.37,unterdurchschnittlich,362,privat,438,22,Stufe 3 - Umfassende Notfallversorgung
771125,24905,sehr viele,46.1,überdurchschnittlich,748,privat,810,12,Stufe 2 - Erweiterte Notfallversorgung
771127,7578,mittel,54.49,unterdurchschnittlich,145,freigemeinnützig,117,15,Stufe 3 - Umfassende Notfallversorgung
771128,195,sehr wenige,61.36,weit unterdurchschnittlich,21,freigemeinnützig,14,0,Keine Teilnahme an einer Notfallstufe.
771129,21928,sehr viele,51.98,mittel,381,öffentlich,501,0,Stufe 3 - Umfassende Notfallversorgung
771132,509,sehr wenige,0.0,weit überdurchschnittlich,4,privat,0,60,Keine Teilnahme an einer Notfallstufe.
771136,14098,viele,40.34,weit überdurchschnittlich,570,privat,440,10,Stufe 1 - Basisnotfallversorgung
771138,8674,mittel,59.99,weit unterdurchschnittlich,138,privat,234,15,Stufe 1 - Basisnotfallversorgung
771139,8920,mittel,41.21,weit überdurchschnittlich,273,privat,310,10,Stufe 1 - Basisnotfallversorgung
771144,17654,sehr viele,44.66,überdurchschnittlich,305,freigemeinnützig,325,0,Stufe 2 - Erweiterte Notfallversorgung
771145,2412,wenige,48.05,überdurchschnittlich,53,öffentlich,79,0,Keine Teilnahme an einer Notfallstufe.
771150,2465,wenige,30.1,weit überdurchschnittlich,25,privat,44,0,Keine Teilnahme an einer Notfallstufe.
771151,12759,viele,53.53,unterdurchschnittlich,227,öffentlich,294,12,Stufe 1 - Basisnotfallversorgung
771152,1853,sehr wenige,49.8,mittel,30,öffentlich,48,0,Keine Teilnahme an einer Notfallstufe.
771153,164,sehr wenige,42.52,weit überdurchschnittlich,35,öffentlich,20,0,Keine Teilnahme an einer Notfallstufe.
771157,11317,viele,54.08,unterdurchschnittlich,205,öffentlich,326,4,Stufe 1 - Basisnotfallversorgung
771160,4785,wenige,60.03,weit unterdurchschnittlich,88,privat,106,0,Stufe 1 - Basisnotfallversorgung
771161,228,sehr wenige,0.0,weit überdurchschnittlich,3,öffentlich,0,5,Keine Teilnahme an einer Notfallstufe.
771162,12535,viele,74.9,weit unterdurchschnittlich,276,öffentlich,419,3,Stufe 1 - Basisnotfallversorgung
771166,5817,mittel,49.16,mittel,161,freigemeinnützig,205,0,Stufe 1 - Basisnotfallversorgung
771167,19361,sehr viele,59.59,weit unterdurchschnittlich,284,freigemeinnützig,420,0,Stufe 2 - Erweiterte Notfallversorgung
771168,5543,mittel,50.16,mittel,110,öffentlich,166,0,Stufe 1 - Basisnotfallversorgung
771172,3478,wenige,63.92,weit unterdurchschnittlich,63,öffentlich,101,0,Stufe 1 - Basisnotfallversorgung
771173,5969,mittel,48.44,überdurchschnittlich,102,öffentlich,153,7,Keine Teilnahme an einer Notfallstufe.
771174,7837,mittel,61.99,weit unterdurchschnittlich,129,öffentlich,220,0,Stufe 1 - Basisnotfallversorgung
771175,66698,sehr viele,47.78,überdurchschnittlich,1.445,öffentlich,1172,84,Stufe 3 - Umfassende Notfallversorgung
771176,25421,sehr viele,52.62,mittel,447,öffentlich,465,6,Stufe 2 - Erweiterte Notfallversorgung
771177,28588,sehr viele,57.29,unterdurchschnittlich,399,freigemeinnützig,574,17,Stufe 2 - Erweiterte Notfallversorgung
771178,342,sehr wenige,0.0,weit überdurchschnittlich,4,freigemeinnützig,0,27,Keine Teilnahme an einer Notfallstufe.
771179,18164,sehr viele,49.19,mittel,284,öffentlich,410,0,Stufe 2 - Erweiterte Notfallversorgung
771181,1088,sehr wenige,37.73,weit überdurchschnittlich,66,freigemeinnützig,53,0,Keine Teilnahme an einer Notfallstufe.
771182,2798,wenige,48.98,überdurchschnittlich,92,freigemeinnützig,172,0,Keine Teilnahme an einer Notfallstufe.
771183,14397,viele,63.74,weit unterdurchschnittlich,205,freigemeinnützig,325,0,Stufe 1 - Basisnotfallversorgung
771184,28626,sehr viele,66.78,weit unterdurchschnittlich,382,öffentlich,607,1,Stufe 2 - Erweiterte Notfallversorgung
771186,7858,mittel,58.85,unterdurchschnittlich,127,öffentlich,188,0,Stufe 1 - Basisnotfallversorgung
771187,7692,mittel,52.51,mittel,121,öffentlich,166,0,Stufe 1 - Basisnotfallversorgung
771189,1301,sehr wenige,37.2,weit überdurchschnittlich,34,privat,40,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771190,3974,wenige,45.6,überdurchschnittlich,109,privat,75,0,Stufe 1 - Basisnotfallversorgung
771191,18770,sehr viele,49.99,mittel,314,freigemeinnützig,343,0,Stufe 2 - Erweiterte Notfallversorgung
771192,8108,mittel,52.5,mittel,144,freigemeinnützig,198,0,Stufe 1 - Basisnotfallversorgung
771193,2506,wenige,68.69,weit unterdurchschnittlich,69,freigemeinnützig,93,12,Keine Teilnahme an einer Notfallstufe.
771197,12165,viele,48.07,überdurchschnittlich,243,freigemeinnützig,303,27,Stufe 1 - Basisnotfallversorgung
771199,9016,viele,56.84,unterdurchschnittlich,147,privat,210,0,Stufe 1 - Basisnotfallversorgung
771200,12510,viele,50.73,mittel,251,privat,303,0,Stufe 2 - Erweiterte Notfallversorgung
771201,17741,sehr viele,54.72,unterdurchschnittlich,296,freigemeinnützig,382,10,Stufe 2 - Erweiterte Notfallversorgung
771204,1119,sehr wenige,37.75,weit überdurchschnittlich,80,freigemeinnützig,101,0,Keine Teilnahme an einer Notfallstufe.
771209,4530,wenige,53.58,unterdurchschnittlich,83,freigemeinnützig,131,0,Stufe 1 - Basisnotfallversorgung
771217,10982,viele,49.25,mittel,255,öffentlich,244,0,Keine Teilnahme an einer Notfallstufe.
771218,2555,wenige,46.04,überdurchschnittlich,51,privat,55,0,Stufe 1 - Basisnotfallversorgung
771219,14375,viele,52.62,mittel,228,freigemeinnützig,407,0,Stufe 1 - Basisnotfallversorgung
771220,9122,viele,42.14,weit überdurchschnittlich,190,freigemeinnützig,235,0,Stufe 2 - Erweiterte Notfallversorgung
771221,5220,mittel,53.2,mittel,149,freigemeinnützig,163,4,Stufe 1 - Basisnotfallversorgung
771222,23918,sehr viele,50.93,mittel,440,öffentlich,351,12,Stufe 3 - Umfassende Notfallversorgung
771223,10771,viele,55.29,unterdurchschnittlich,160,öffentlich,154,0,Stufe 2 - Erweiterte Notfallversorgung
771224,398,sehr wenige,51.45,mittel,17,öffentlich,18,0,Keine Teilnahme an einer Notfallstufe.
