hospital_id,treatment_count_number_(Chirurgischer Herzklappenersatz),treatment_count_description_(Chirurgischer Herzklappenersatz),treatment_count_number_(Totalendoprothese der Hüfte),treatment_count_description_(Totalendoprothese der Hüfte)
771003,0.0,sehr wenige,0.0,sehr wenige
771011,0.0,sehr wenige,0.0,sehr wenige
771012,0.0,sehr wenige,0.0,sehr wenige
771015,0.0,sehr wenige,0.0,sehr wenige
771016,0.0,sehr wenige,0.0,sehr wenige
771021,0.0,sehr wenige,0.0,sehr wenige
771028,0.0,sehr wenige,0.0,sehr wenige
771029,0.0,sehr wenige,0.0,sehr wenige
771030,0.0,sehr wenige,0.0,sehr wenige
771031,0.0,sehr wenige,0.0,sehr wenige
771039,0.0,sehr wenige,0.0,sehr wenige
771040,0.0,sehr wenige,0.0,sehr wenige
771041,0.0,sehr wenige,0.0,sehr wenige
771042,0.0,sehr wenige,0.0,sehr wenige
771043,0.0,sehr wenige,0.0,sehr wenige
771052,0.0,sehr wenige,0.0,sehr wenige
771053,0.0,sehr wenige,0.0,sehr wenige
771054,0.0,sehr wenige,0.0,sehr wenige
771056,1290.0,sehr viele,1290.0,sehr viele
771057,0.0,sehr wenige,0.0,sehr wenige
771059,0.0,sehr wenige,0.0,sehr wenige
771060,0.0,sehr wenige,0.0,sehr wenige
771061,0.0,sehr wenige,0.0,sehr wenige
771062,0.0,sehr wenige,0.0,sehr wenige
771064,0.0,sehr wenige,0.0,sehr wenige
771065,0.0,sehr wenige,0.0,sehr wenige
771069,0.0,sehr wenige,0.0,sehr wenige
771070,0.0,sehr wenige,0.0,sehr wenige
771071,0.0,sehr wenige,0.0,sehr wenige
771072,0.0,sehr wenige,0.0,sehr wenige
771073,0.0,sehr wenige,0.0,sehr wenige
771074,397.0,sehr viele,397.0,sehr viele
771075,0.0,sehr wenige,0.0,sehr wenige
771076,0.0,sehr wenige,0.0,sehr wenige
771077,0.0,sehr wenige,0.0,sehr wenige
771078,0.0,sehr wenige,0.0,sehr wenige
771079,0.0,sehr wenige,0.0,sehr wenige
771080,198.0,wenige,198.0,wenige
771081,0.0,sehr wenige,0.0,sehr wenige
771082,0.0,sehr wenige,0.0,sehr wenige
771083,0.0,sehr wenige,0.0,sehr wenige
771084,0.0,sehr wenige,0.0,sehr wenige
771085,0.0,sehr wenige,0.0,sehr wenige
771087,0.0,sehr wenige,0.0,sehr wenige
771088,0.0,sehr wenige,0.0,sehr wenige
771090,0.0,sehr wenige,0.0,sehr wenige
771091,0.0,sehr wenige,0.0,sehr wenige
771093,0.0,sehr wenige,0.0,sehr wenige
771094,0.0,sehr wenige,0.0,sehr wenige
771095,0.0,sehr wenige,0.0,sehr wenige
