hospital_id,treatment_code,count_number,count_label
771261,KAHKO0,261,viele
771261,KAHM0,162,wenige
771261,KAKIA,165,wenige
771261,KAKIB,715,sehr viele
771261,KALE0,547,sehr viele
771261,KABK0,257,viele
771261,KALK0,66,sehr wenige
771261,KADK0,63,sehr wenige
771261,KAOM0,20,sehr wenige
771261,KAPRK0,396,sehr viele
771261,KAPK0,31,sehr wenige
771261,KAEH0,194,wenige
771261,KARH0,55,sehr wenige
771261,KARK0,50,sehr wenige
771261,KAEK0,162,wenige
771261,KASA0,874,sehr viele
771261,KAMUS0,54,sehr wenige
771261,KAPAR0,56,sehr wenige
771261,KAEN0,1485,sehr viele
771261,KABAA0,43,sehr wenige
771261,KASCHK0,184,wenige
771261,KAOH0,50,sehr wenige
771262,KAHKO0,0,sehr wenige
771262,KAHM0,0,sehr wenige
771262,KAKIA,0,sehr wenige
771262,KAKIB,0,sehr wenige
771262,KALE0,523,sehr viele
771262,KABK0,125,wenige
771262,KALK0,10,sehr wenige
771262,KADK0,25,sehr wenige
771262,KAOM0,0,sehr wenige
771262,KAPRK0,0,sehr wenige
771262,KAPK0,0,sehr wenige
771262,KAEH0,0,sehr wenige
771262,KARH0,0,sehr wenige
771262,KARK0,0,sehr wenige
771262,KAEK0,0,sehr wenige
771262,KASA0,0,sehr wenige
771262,KAMUS0,0,sehr wenige
771262,KAPAR0,10,sehr wenige
771262,KAEN0,1839,sehr viele
771262,KABAA0,0,sehr wenige
771262,KASCHK0,0,sehr wenige
771262,KAOH0,0,sehr wenige
771263,KAHKO0,0,sehr wenige
771263,KAHM0,0,sehr wenige
771263,KAKIA,0,sehr wenige
771263,KAKIB,0,sehr wenige
771263,KALE0,195,wenige
771263,KABK0,0,sehr wenige
771263,KALK0,0,sehr wenige
771263,KADK0,0,sehr wenige
771263,KAOM0,0,sehr wenige
771263,KAPRK0,0,sehr wenige
771263,KAPK0,0,sehr wenige
771263,KAEH0,0,sehr wenige
771263,KARH0,0,sehr wenige
771263,KARK0,0,sehr wenige
771263,KAEK0,0,sehr wenige
771263,KASA0,0,sehr wenige
771263,KAMUS0,0,sehr wenige
771263,KAPAR0,0,sehr wenige
771263,KAEN0,0,sehr wenige
771263,KABAA0,0,sehr wenige
771263,KASCHK0,0,sehr wenige
771263,KAOH0,0,sehr wenige
771264,KAHKO0,0,sehr wenige
771264,KAHM0,0,sehr wenige
771264,KAKIA,0,sehr wenige
771264,KAKIB,0,sehr wenige
771264,KALE0,229,mittel
771264,KABK0,0,sehr wenige
771264,KALK0,0,sehr wenige
771264,KADK0,7,sehr wenige
771264,KAOM0,0,sehr wenige
771264,KAPRK0,0,sehr wenige
771264,KAPK0,0,sehr wenige
771264,KAEH0,170,wenige
771264,KARH0,10,sehr wenige
771264,KARK0,25,sehr wenige
771264,KAEK0,207,mittel
771264,KASA0,0,sehr wenige
771264,KAMUS0,0,sehr wenige
771264,KAPAR0,11,sehr wenige
771264,KAEN0,0,sehr wenige
771264,KABAA0,0,sehr wenige
771264,KASCHK0,0,sehr wenige
771264,KAOH0,0,sehr wenige
771265,KAHKO0,0,sehr wenige
771265,KAHM0,0,sehr wenige
771265,KAKIA,0,sehr wenige
771265,KAKIB,347,sehr viele
771265,KALE0,275,viele
771265,KABK0,32,sehr wenige
771265,KALK0,0,sehr wenige
771265,KADK0,40,sehr wenige
771265,KAOM0,0,sehr wenige
771265,KAPRK0,0,sehr wenige
771265,KAPK0,0,sehr wenige
771265,KAEH0,112,sehr wenige
771265,KARH0,10,sehr wenige
771265,KARK0,0,sehr wenige
771265,KAEK0,76,sehr wenige
771265,KASA0,0,sehr wenige
771265,KAMUS0,4,sehr wenige
771265,KAPAR0,15,sehr wenige
771265,KAEN0,461,sehr viele
771265,KABAA0,0,sehr wenige
771265,KASCHK0,150,wenige
771265,KAOH0,5,sehr wenige
771266,KAHKO0,0,sehr wenige
771266,KAHM0,0,sehr wenige
771266,KAKIA,0,sehr wenige
771266,KAKIB,0,sehr wenige
771266,KALE0,198,wenige
771266,KABK0,32,sehr wenige
771266,KALK0,0,sehr wenige
771266,KADK0,39,sehr wenige
771266,KAOM0,0,sehr wenige
771266,KAPRK0,0,sehr wenige
771266,KAPK0,0,sehr wenige
771266,KAEH0,83,sehr wenige
771266,KARH0,15,sehr wenige
771266,KARK0,9,sehr wenige
771266,KAEK0,92,sehr wenige
771266,KASA0,0,sehr wenige
771266,KAMUS0,0,sehr wenige
771266,KAPAR0,6,sehr wenige
771266,KAEN0,0,sehr wenige
771266,KABAA0,0,sehr wenige
771266,KASCHK0,0,sehr wenige
771266,KAOH0,0,sehr wenige
771267,KAHKO0,101,sehr wenige
771267,KAHM0,114,sehr wenige
771267,KAKIA,224,mittel
771267,KAKIB,540,sehr viele
771267,KALE0,61,sehr wenige
771267,KABK0,0,sehr wenige
771267,KALK0,0,sehr wenige
771267,KADK0,0,sehr wenige
771267,KAOM0,0,sehr wenige
771267,KAPRK0,0,sehr wenige
771267,KAPK0,0,sehr wenige
771267,KAEH0,0,sehr wenige
771267,KARH0,0,sehr wenige
771267,KARK0,0,sehr wenige
771267,KAEK0,0,sehr wenige
771267,KASA0,0,sehr wenige
771267,KAMUS0,0,sehr wenige
771267,KAPAR0,0,sehr wenige
771267,KAEN0,0,sehr wenige
771267,KABAA0,0,sehr wenige
771267,KASCHK0,36,sehr wenige
771267,KAOH0,8,sehr wenige
771268,KAHKO0,0,sehr wenige
771268,KAHM0,0,sehr wenige
771268,KAKIA,0,sehr wenige
771268,KAKIB,0,sehr wenige
771268,KALE0,0,sehr wenige
771268,KABK0,0,sehr wenige
771268,KALK0,0,sehr wenige
771268,KADK0,0,sehr wenige
771268,KAOM0,0,sehr wenige
771268,KAPRK0,0,sehr wenige
771268,KAPK0,0,sehr wenige
771268,KAEH0,0,sehr wenige
771268,KARH0,0,sehr wenige
771268,KARK0,0,sehr wenige
771268,KAEK0,0,sehr wenige
771268,KASA0,0,sehr wenige
771268,KAMUS0,0,sehr wenige
771268,KAPAR0,0,sehr wenige
771268,KAEN0,0,sehr wenige
771268,KABAA0,0,sehr wenige
771268,KASCHK0,0,sehr wenige
771268,KAOH0,0,sehr wenige
771269,KAHKO0,0,sehr wenige
771269,KAHM0,0,sehr wenige
771269,KAKIA,0,sehr wenige
771269,KAKIB,358,sehr viele
771269,KALE0,282,viele
771269,KABK0,293,viele
771269,KALK0,0,sehr wenige
771269,KADK0,36,sehr wenige
771269,KAOM0,0,sehr wenige
771269,KAPRK0,72,sehr wenige
771269,KAPK0,0,sehr wenige
771269,KAEH0,9,sehr wenige
771269,KARH0,7,sehr wenige
771269,KARK0,0,sehr wenige
771269,KAEK0,0,sehr wenige
771269,KASA0,204,mittel
771269,KAMUS0,8,sehr wenige
771269,KAPAR0,5,sehr wenige
771269,KAEN0,690,sehr viele
771269,KABAA0,25,sehr wenige
771269,KASCHK0,321,viele
771269,KAOH0,44,sehr wenige
771284,KAHKO0,0,sehr wenige
771284,KAHM0,0,sehr wenige
771284,KAKIA,0,sehr wenige
771284,KAKIB,46,sehr wenige
771284,KALE0,325,viele
771284,KABK0,131,wenige
771284,KALK0,0,sehr wenige
771284,KADK0,55,sehr wenige
771284,KAOM0,0,sehr wenige
771284,KAPRK0,94,sehr wenige
771284,KAPK0,0,sehr wenige
771284,KAEH0,205,mittel
771284,KARH0,18,sehr wenige
771284,KARK0,25,sehr wenige
771284,KAEK0,205,mittel
771284,KASA0,0,sehr wenige
771284,KAMUS0,0,sehr wenige
771284,KAPAR0,0,sehr wenige
771284,KAEN0,684,sehr viele
771284,KABAA0,0,sehr wenige
771284,KASCHK0,0,sehr wenige
771284,KAOH0,0,sehr wenige
771285,KAHKO0,0,sehr wenige
771285,KAHM0,0,sehr wenige
771285,KAKIA,0,sehr wenige
771285,KAKIB,0,sehr wenige
771285,KALE0,69,sehr wenige
771285,KABK0,0,sehr wenige
771285,KALK0,0,sehr wenige
771285,KADK0,0,sehr wenige
771285,KAOM0,0,sehr wenige
771285,KAPRK0,0,sehr wenige
771285,KAPK0,0,sehr wenige
771285,KAEH0,0,sehr wenige
771285,KARH0,0,sehr wenige
771285,KARK0,0,sehr wenige
771285,KAEK0,0,sehr wenige
771285,KASA0,0,sehr wenige
771285,KAMUS0,0,sehr wenige
771285,KAPAR0,16,sehr wenige
771285,KAEN0,0,sehr wenige
771285,KABAA0,0,sehr wenige
771285,KASCHK0,0,sehr wenige
771285,KAOH0,0,sehr wenige
771286,KAHKO0,0,sehr wenige
771286,KAHM0,0,sehr wenige
771286,KAKIA,0,sehr wenige
771286,KAKIB,356,sehr viele
771286,KALE0,438,sehr viele
771286,KABK0,164,wenige
