hospital_id,treatment_code,treatment_count
771003,KAHKO0,0
771003,KAHM0,0
771003,KAKIA,0
771003,KAKIB,425
771003,KALE0,448
771003,KABK0,463
771003,KALK0,17
771003,KADK0,134
771003,KAOM0,39
771003,KAPRK0,0
771003,KAPK0,25
771003,KAEH0,257
771003,KARH0,18
771003,KARK0,14
771003,KAEK0,158
771003,KASA0,6
771003,KAMUS0,0
771003,KAPAR0,6
771003,KAEN0,2466
771003,KABAA0,18
771003,KASCHK0,223
771003,KAOH0,25
771011,KAHKO0,0
771011,KAHM0,0
771011,KAKIA,0
771011,KAKIB,439
771011,KALE0,406
771011,KABK0,0
771011,KALK0,0
771011,KADK0,79
771011,KAOM0,6
771011,KAPRK0,0
771011,KAPK0,0
771011,KAEH0,46
771011,KARH0,9
771011,KARK0,7
771011,KAEK0,83
771011,KASA0,0
771011,KAMUS0,0
771011,KAPAR0,5
771011,KAEN0,83
771011,KABAA0,0
771011,KASCHK0,0
771011,KAOH0,0
771012,KAHKO0,0
771012,KAHM0,0
771012,KAKIA,0
771012,KAKIB,0
771012,KALE0,514
771012,KABK0,182
771012,KALK0,0
771012,KADK0,47
771012,KAOM0,0
771012,KAPRK0,0
771012,KAPK0,0
771012,KAEH0,0
771012,KARH0,0
771012,KARK0,0
771012,KAEK0,0
771012,KASA0,581
771012,KAMUS0,63
771012,KAPAR0,27
771012,KAEN0,857
771012,KABAA0,11
771012,KASCHK0,425
771012,KAOH0,53
771015,KAHKO0,0
771015,KAHM0,0
771015,KAKIA,0
771015,KAKIB,0
771015,KALE0,89
771015,KABK0,0
771015,KALK0,0
771015,KADK0,0
771015,KAOM0,0
771015,KAPRK0,0
771015,KAPK0,0
771015,KAEH0,0
771015,KARH0,0
771015,KARK0,0
771015,KAEK0,0
771015,KASA0,0
771015,KAMUS0,0
771015,KAPAR0,0
771015,KAEN0,0
771015,KABAA0,0
771015,KASCHK0,0
771015,KAOH0,0
771016,KAHKO0,0
771016,KAHM0,0
771016,KAKIA,0
771016,KAKIB,286
771016,KALE0,450
771016,KABK0,114
771016,KALK0,13
771016,KADK0,75
771016,KAOM0,9
771016,KAPRK0,151
771016,KAPK0,10
771016,KAEH0,159
771016,KARH0,15
771016,KARK0,11
771016,KAEK0,155
771016,KASA0,464
771016,KAMUS0,46
771016,KAPAR0,52
771016,KAEN0,848
771016,KABAA0,14
771016,KASCHK0,190
771016,KAOH0,43
771021,KAHKO0,0
771021,KAHM0,0
771021,KAKIA,0
771021,KAKIB,0
771021,KALE0,4
771021,KABK0,0
771021,KALK0,0
771021,KADK0,0
771021,KAOM0,0
771021,KAPRK0,0
771021,KAPK0,0
771021,KAEH0,0
771021,KARH0,0
771021,KARK0,0
771021,KAEK0,0
771021,KASA0,0
771021,KAMUS0,0
771021,KAPAR0,131
771021,KAEN0,0
771021,KABAA0,0
771021,KASCHK0,0
771021,KAOH0,0
771028,KAHKO0,0
771028,KAHM0,0
771028,KAKIA,0
771028,KAKIB,0
771028,KALE0,151
771028,KABK0,0
771028,KALK0,0
771028,KADK0,18
771028,KAOM0,0
771028,KAPRK0,0
771028,KAPK0,0
771028,KAEH0,99
771028,KARH0,0
771028,KARK0,9
771028,KAEK0,168
771028,KASA0,0
771028,KAMUS0,0
771028,KAPAR0,0
771028,KAEN0,0
771028,KABAA0,0
771028,KASCHK0,0
771028,KAOH0,0
771029,KAHKO0,0
771029,KAHM0,0
771029,KAKIA,0
771029,KAKIB,0
771029,KALE0,473
771029,KABK0,154
771029,KALK0,0
771029,KADK0,95
771029,KAOM0,11
771029,KAPRK0,0
771029,KAPK0,0
771029,KAEH0,0
771029,KARH0,0
771029,KARK0,0
771029,KAEK0,0
771029,KASA0,0
771029,KAMUS0,0
771029,KAPAR0,0
771029,KAEN0,738
771029,KABAA0,0
771029,KASCHK0,0
771029,KAOH0,0
771030,KAHKO0,0
771030,KAHM0,0
771030,KAKIA,0
771030,KAKIB,567
771030,KALE0,396
771030,KABK0,0
771030,KALK0,0
771030,KADK0,0
771030,KAOM0,0
771030,KAPRK0,0
771030,KAPK0,0
771030,KAEH0,5
771030,KARH0,4
771030,KARK0,0
771030,KAEK0,0
771030,KASA0,620
771030,KAMUS0,51
771030,KAPAR0,69
771030,KAEN0,0
771030,KABAA0,12
771030,KASCHK0,171
771030,KAOH0,25
771031,KAHKO0,0
771031,KAHM0,0
771031,KAKIA,0
771031,KAKIB,0
771031,KALE0,0
771031,KABK0,0
771031,KALK0,0
771031,KADK0,0
771031,KAOM0,0
771031,KAPRK0,0
