hospital_id,treatment_code,count_number,count_label
772967,KAHKO0,0,sehr wenige
772967,KAHM0,0,sehr wenige
772967,KAKIA,0,sehr wenige
772967,KAKIB,0,sehr wenige
772967,KALE0,50,sehr wenige
772967,KABK0,0,sehr wenige
772967,KALK0,0,sehr wenige
772967,KADK0,0,sehr wenige
772967,KAOM0,0,sehr wenige
772967,KAPRK0,0,sehr wenige
772967,KAPK0,0,sehr wenige
772967,KAEH0,0,sehr wenige
772967,KARH0,0,sehr wenige
772967,KARK0,0,sehr wenige
772967,KAEK0,0,sehr wenige
772967,KASA0,0,sehr wenige
772967,KAMUS0,4,sehr wenige
772967,KAPAR0,4,sehr wenige
772967,KAEN0,0,sehr wenige
772967,KABAA0,0,sehr wenige
772967,KASCHK0,0,sehr wenige
772967,KAOH0,0,sehr wenige
772968,KAHKO0,0,sehr wenige
772968,KAHM0,0,sehr wenige
772968,KAKIA,0,sehr wenige
772968,KAKIB,388,sehr viele
772968,KALE0,333,viele
772968,KABK0,42,sehr wenige
772968,KALK0,0,sehr wenige
772968,KADK0,47,sehr wenige
772968,KAOM0,0,sehr wenige
772968,KAPRK0,20,sehr wenige
772968,KAPK0,6,sehr wenige
772968,KAEH0,53,sehr wenige
772968,KARH0,5,sehr wenige
772968,KARK0,10,sehr wenige
772968,KAEK0,87,sehr wenige
772968,KASA0,0,sehr wenige
772968,KAMUS0,0,sehr wenige
772968,KAPAR0,0,sehr wenige
772968,KAEN0,405,sehr viele
772968,KABAA0,0,sehr wenige
772968,KASCHK0,122,wenige
772968,KAOH0,6,sehr wenige
772971,KAHKO0,0,sehr wenige
772971,KAHM0,0,sehr wenige
772971,KAKIA,0,sehr wenige
772971,KAKIB,0,sehr wenige
772971,KALE0,84,sehr wenige
772971,KABK0,0,sehr wenige
772971,KALK0,0,sehr wenige
772971,KADK0,31,sehr wenige
772971,KAOM0,0,sehr wenige
772971,KAPRK0,0,sehr wenige
772971,KAPK0,0,sehr wenige
772971,KAEH0,83,sehr wenige
772971,KARH0,4,sehr wenige
772971,KARK0,4,sehr wenige
772971,KAEK0,99,sehr wenige
772971,KASA0,0,sehr wenige
772971,KAMUS0,0,sehr wenige
772971,KAPAR0,4,sehr wenige
772971,KAEN0,0,sehr wenige
772971,KABAA0,0,sehr wenige
772971,KASCHK0,0,sehr wenige
772971,KAOH0,0,sehr wenige
772972,KAHKO0,0,sehr wenige
772972,KAHM0,0,sehr wenige
772972,KAKIA,0,sehr wenige
772972,KAKIB,0,sehr wenige
772972,KALE0,0,sehr wenige
772972,KABK0,0,sehr wenige
772972,KALK0,0,sehr wenige
772972,KADK0,0,sehr wenige
772972,KAOM0,0,sehr wenige
772972,KAPRK0,0,sehr wenige
772972,KAPK0,0,sehr wenige
772972,KAEH0,316,viele
772972,KARH0,22,sehr wenige
772972,KARK0,31,sehr wenige
772972,KAEK0,176,wenige
772972,KASA0,0,sehr wenige
772972,KAMUS0,9,sehr wenige
772972,KAPAR0,0,sehr wenige
772972,KAEN0,0,sehr wenige
772972,KABAA0,0,sehr wenige
772972,KASCHK0,0,sehr wenige
772972,KAOH0,0,sehr wenige
772973,KAHKO0,0,sehr wenige
772973,KAHM0,0,sehr wenige
772973,KAKIA,0,sehr wenige
772973,KAKIB,0,sehr wenige
772973,KALE0,5,sehr wenige
772973,KABK0,0,sehr wenige
772973,KALK0,0,sehr wenige
772973,KADK0,0,sehr wenige
772973,KAOM0,0,sehr wenige
772973,KAPRK0,0,sehr wenige
772973,KAPK0,0,sehr wenige
772973,KAEH0,0,sehr wenige
772973,KARH0,0,sehr wenige
772973,KARK0,0,sehr wenige
772973,KAEK0,0,sehr wenige
772973,KASA0,0,sehr wenige
772973,KAMUS0,0,sehr wenige
772973,KAPAR0,0,sehr wenige
772973,KAEN0,0,sehr wenige
772973,KABAA0,0,sehr wenige
772973,KASCHK0,0,sehr wenige
772973,KAOH0,0,sehr wenige
772974,KAHKO0,0,sehr wenige
772974,KAHM0,0,sehr wenige
772974,KAKIA,0,sehr wenige
772974,KAKIB,0,sehr wenige
